region,country_code,rank_pooled,n_pooled,perc_pooled,rank_ab,n_ab,perc_ab,rank_be,n_be,perc_be,rank_bes,n_bes,perc_bes
east asia & pacific,aus,1,4133,56.61,1,1781,54.85,1,1237,66.43,1,1115,50.87
east asia & pacific,jpn,2,1118,15.31,2,557,17.15,3,187,10.04,3,374,17.06
east asia & pacific,chn,3,1058,14.49,3,451,13.89,2,213,11.44,2,394,17.97
east asia & pacific,nzl,4,446,6.11,4,240,7.39,4,105,5.64,4,101,4.61
east asia & pacific,twn,5,205,2.81,5,97,2.99,5,43,2.31,5,65,2.97
east asia & pacific,kor,6,112,1.53,7,21,0.65,6,36,1.93,6,55,2.51
east asia & pacific,sgp,7,88,1.21,6,49,1.51,7,22,1.18,9,17,0.78
east asia & pacific,idn,8,47,0.64,8,18,0.55,8,5,0.27,8,24,1.09
east asia & pacific,tha,9,45,0.62,10,11,0.34,9,5,0.27,7,29,1.32
east asia & pacific,mys,10,26,0.36,9,15,0.46,11,3,0.16,10,8,0.36
east asia & pacific,brn,11,6,0.08,NA,NA,NA,10,4,0.21,12,2,0.09
east asia & pacific,hkg,12,4,0.05,11,3,0.09,12,1,0.05,NA,NA,NA
east asia & pacific,mmr,13,4,0.05,NA,NA,NA,NA,NA,NA,11,4,0.18
east asia & pacific,gum,14,2,0.03,12,2,0.06,NA,NA,NA,NA,NA,NA
east asia & pacific,mng,15,2,0.03,14,1,0.03,NA,NA,NA,14,1,0.05
east asia & pacific,png,16,2,0.03,NA,NA,NA,NA,NA,NA,13,2,0.09
east asia & pacific,fji,17,1,0.01,13,1,0.03,NA,NA,NA,NA,NA,NA
east asia & pacific,ncl,18,1,0.01,NA,NA,NA,13,1,0.05,NA,NA,NA
east asia & pacific,vnm,19,1,0.01,NA,NA,NA,NA,NA,NA,15,1,0.05
europe & central asia,gbr,1,9716,30.87,1,5692,37.98,1,2295,30.02,1,1729,19.54
europe & central asia,deu,2,4208,13.37,2,1709,11.4,2,810,10.6,2,1689,19.09
europe & central asia,fra,3,2998,9.52,3,1556,10.38,3,711,9.3,4,731,8.26
europe & central asia,esp,4,2010,6.39,8,686,4.58,4,564,7.38,3,760,8.59
europe & central asia,swe,5,1742,5.53,7,720,4.8,5,511,6.68,5,511,5.78
europe & central asia,nld,6,1585,5.04,4,750,5.01,6,486,6.36,9,349,3.94
europe & central asia,che,7,1579,5.02,6,721,4.81,7,430,5.63,7,428,4.84
europe & central asia,ita,8,1464,4.65,5,724,4.83,10,232,3.04,6,508,5.74
europe & central asia,fin,9,1101,3.5,10,333,2.22,8,366,4.79,8,402,4.54
europe & central asia,nor,10,941,2.99,12,317,2.12,9,294,3.85,10,330,3.73
europe & central asia,bel,11,676,2.15,11,321,2.14,11,147,1.92,12,208,2.35
europe & central asia,aut,12,609,1.93,9,354,2.36,16,100,1.31,14,155,1.75
europe & central asia,hun,13,545,1.73,13,192,1.28,13,130,1.7,11,223,2.52
europe & central asia,cze,14,477,1.52,15,161,1.07,15,109,1.43,13,207,2.34
europe & central asia,prt,15,425,1.35,16,161,1.07,12,131,1.71,16,133,1.5
europe & central asia,pol,16,412,1.31,17,141,0.94,14,130,1.7,15,141,1.59
europe & central asia,dnk,17,384,1.22,14,182,1.21,17,93,1.22,17,109,1.23
europe & central asia,irl,18,141,0.45,18,75,0.5,18,30,0.39,19,36,0.41
europe & central asia,rus,19,123,0.39,19,50,0.33,20,10,0.13,18,63,0.71
europe & central asia,svn,20,66,0.21,20,27,0.18,25,6,0.08,20,33,0.37
europe & central asia,est,21,39,0.12,23,14,0.09,21,9,0.12,22,16,0.18
europe & central asia,grc,22,35,0.11,21,26,0.17,NA,NA,NA,25,9,0.1
europe & central asia,rou,23,29,0.09,29,5,0.03,26,4,0.05,21,20,0.23
europe & central asia,lva,24,28,0.09,26,9,0.06,22,9,0.12,24,10,0.11
europe & central asia,svk,25,27,0.09,24,13,0.09,27,3,0.04,23,11,0.12
europe & central asia,srb,26,26,0.08,30,5,0.03,19,12,0.16,26,9,0.1
europe & central asia,isl,27,25,0.08,22,15,0.1,24,7,0.09,30,3,0.03
europe & central asia,tur,28,24,0.08,27,7,0.05,23,9,0.12,27,8,0.09
europe & central asia,hrv,29,16,0.05,25,9,0.06,NA,NA,NA,28,7,0.08
europe & central asia,mco,30,6,0.02,28,5,0.03,30,1,0.01,NA,NA,NA
europe & central asia,bgr,31,5,0.02,32,1,0.01,NA,NA,NA,29,4,0.05
europe & central asia,cyp,32,2,0.01,31,2,0.01,NA,NA,NA,NA,NA,NA
europe & central asia,gib,33,2,0.01,33,1,0.01,NA,NA,NA,33,1,0.01
europe & central asia,grl,34,2,0.01,NA,NA,NA,28,2,0.03,NA,NA,NA
europe & central asia,kaz,35,2,0.01,34,1,0.01,NA,NA,NA,34,1,0.01
europe & central asia,lux,36,2,0.01,NA,NA,NA,NA,NA,NA,31,2,0.02
europe & central asia,mkd,37,2,0.01,NA,NA,NA,31,1,0.01,35,1,0.01
europe & central asia,ukr,38,2,0.01,NA,NA,NA,29,2,0.03,NA,NA,NA
europe & central asia,arm,39,1,0,NA,NA,NA,NA,NA,NA,32,1,0.01
latin america & caribbean,bra,1,686,32.16,1,283,32.45,1,134,33.33,1,269,31.32
latin america & caribbean,mex,2,445,20.86,2,167,19.15,2,82,20.4,2,196,22.82
latin america & caribbean,arg,3,310,14.53,3,118,13.53,3,48,11.94,3,144,16.76
latin america & caribbean,chl,4,214,10.03,4,85,9.75,4,43,10.7,4,86,10.01
latin america & caribbean,pan,5,154,7.22,5,63,7.22,5,40,9.95,5,51,5.94
latin america & caribbean,cri,6,74,3.47,6,44,5.05,6,14,3.48,7,16,1.86
latin america & caribbean,col,7,59,2.77,7,28,3.21,10,4,1,6,27,3.14
latin america & caribbean,ury,8,41,1.92,8,18,2.06,8,8,1.99,8,15,1.75
latin america & caribbean,tto,9,29,1.36,11,10,1.15,7,8,1.99,9,11,1.28
latin america & caribbean,ecu,10,21,0.98,12,9,1.03,9,5,1.24,10,7,0.81
latin america & caribbean,ven,11,21,0.98,10,12,1.38,15,2,0.5,11,7,0.81
latin america & caribbean,bhs,12,19,0.89,9,14,1.61,16,1,0.25,14,4,0.47
latin america & caribbean,pri,13,16,0.75,13,7,0.8,12,3,0.75,13,6,0.7
